mean_overlapping_bboxes,class_acc,loss_rpn_cls,loss_rpn_regr,loss_class_cls,loss_class_regr,curr_loss,elapsed_time,mAP
6.414,0.609,5.287999999999999,0.451,0.9159999999999999,0.424,7.079,100.77799999999999,0.0
8.359,0.622,3.218,0.411,0.828,0.408,4.865,95.362,0.0
7.71,0.56,0.10300000000000001,0.292,1.1179999999999999,0.29100000000000004,1.8030000000000002,26.224,0.0
8.401,0.6779999999999999,0.11800000000000001,0.207,0.7979999999999999,0.20600000000000002,1.329,14.519,0.0
8.526,0.76,0.133,0.18100000000000002,0.613,0.16399999999999998,1.092,10.542,0.0
8.658,0.779,0.14,0.165,0.561,0.151,1.0170000000000001,9.202,0.0
8.533999999999999,0.816,0.086,0.16399999999999998,0.474,0.135,0.8590000000000001,8.728,0.0
8.445,0.8340000000000001,0.162,0.14400000000000002,0.426,0.126,0.857,8.627,0.0
8.514,0.843,0.145,0.147,0.41600000000000004,0.12,0.828,8.102,0.0
8.482999999999999,0.858,0.16,0.127,0.361,0.114,0.7609999999999999,7.832000000000001,0.0
8.419,0.86,0.16399999999999998,0.135,0.37,0.107,0.7759999999999999,7.8,0.0
8.304,0.875,0.136,0.13,0.33799999999999997,0.098,0.7020000000000001,7.6160000000000005,0.0
8.401,0.862,0.11699999999999999,0.127,0.358,0.09699999999999999,0.6990000000000001,7.7829999999999995,0.0
8.265,0.8809999999999999,0.13699999999999998,0.122,0.326,0.091,0.675,7.681,0.0
8.375,0.88,0.127,0.11699999999999999,0.312,0.091,0.647,7.818,0.0
8.247,0.8759999999999999,0.156,0.109,0.319,0.08900000000000001,0.672,7.561,0.0
8.307,0.8759999999999999,0.127,0.105,0.313,0.08199999999999999,0.627,7.531000000000001,0.0
8.322000000000001,0.8859999999999999,0.092,0.114,0.294,0.086,0.586,7.58,0.0
8.238,0.897,0.122,0.105,0.273,0.079,0.58,7.609,0.0
8.142999999999999,0.892,0.107,0.107,0.29,0.08199999999999999,0.585,7.6610000000000005,0.0
8.214,0.903,0.149,0.09300000000000001,0.262,0.079,0.583,7.519,0.0
8.197000000000001,0.8909999999999999,0.126,0.098,0.285,0.075,0.585,7.4270000000000005,0.0
8.2,0.9,0.12300000000000001,0.09699999999999999,0.26,0.075,0.555,7.494,0.0
8.157,0.9009999999999999,0.14,0.091,0.262,0.073,0.5660000000000001,7.551,0.0
8.118,0.9059999999999999,0.142,0.083,0.251,0.068,0.544,7.504,0.0
8.249,0.893,0.11900000000000001,0.092,0.273,0.07200000000000001,0.556,7.604,0.0
8.164,0.9079999999999999,0.086,0.094,0.253,0.067,0.5,7.395,0.0
8.292,0.91,0.08,0.08,0.23,0.069,0.461,7.643,0.0
8.189,0.902,0.12300000000000001,0.09,0.262,0.068,0.5429999999999999,7.5360000000000005,0.0
8.201,0.922,0.145,0.084,0.22,0.062,0.512,7.466,0.0
8.171,0.922,0.113,0.085,0.217,0.069,0.484,26.804,0.0
8.127,0.912,0.107,0.09,0.242,0.064,0.503,14.401,0.0
8.187,0.922,0.133,0.084,0.199,0.064,0.481,10.122,0.0
8.106,0.911,0.117,0.076,0.238,0.061,0.492,9.288,0.0
8.027,0.915,0.166,0.085,0.236,0.056,0.543,8.639,0.0
7.991,0.926,0.148,0.074,0.192,0.06,0.474,8.293,0.0
8.079,0.914,0.112,0.083,0.232,0.063,0.49,7.966,0.0
8.122,0.926,0.086,0.076,0.198,0.058,0.417,7.76,0.0
8.074,0.924,0.119,0.082,0.218,0.058,0.476,7.976,0.0
8.116,0.914,0.132,0.071,0.216,0.059,0.478,7.796,0.0
8.183,0.927,0.122,0.078,0.206,0.06,0.466,7.526,0.0
8.065,0.922,0.146,0.072,0.212,0.057,0.487,7.501,0.0
8.09,0.926,0.101,0.071,0.198,0.06,0.43,7.515,0.0
7.994,0.916,0.082,0.071,0.22,0.055,0.429,7.438,0.0
8.202,0.93,0.095,0.071,0.186,0.057,0.409,7.526,0.0
8.035,0.922,0.125,0.072,0.214,0.054,0.465,7.637,0.0
7.985,0.932,0.165,0.065,0.181,0.055,0.466,7.499,0.0
8.088,0.92,0.16,0.067,0.215,0.057,0.5,7.406,0.0
8.076,0.932,0.177,0.072,0.191,0.056,0.496,7.518,0.0
7.924,0.929,0.168,0.069,0.197,0.054,0.488,7.447,0.0
8.043,0.932,0.152,0.065,0.175,0.054,0.447,7.452,0.0
8.095,0.928,0.103,0.062,0.196,0.055,0.417,7.43,0.0
8.097,0.928,0.161,0.063,0.185,0.052,0.461,7.52,0.0
7.985,0.926,0.103,0.063,0.193,0.054,0.414,7.534,0.0
8.061,0.932,0.142,0.065,0.183,0.05,0.439,7.524,0.0
8.092,0.937,0.128,0.059,0.164,0.053,0.404,7.547,0.0
8.068,0.93,0.091,0.066,0.197,0.053,0.407,7.639,0.0
8.033,0.941,0.118,0.059,0.156,0.049,0.382,7.516,0.0
7.954,0.928,0.125,0.065,0.199,0.053,0.443,7.615,0.0
8.055,0.943,0.133,0.061,0.157,0.05,0.401,7.557,0.0
8.058,0.93,0.09,0.063,0.185,0.054,0.392,7.448,0.0
8.048,0.934,0.09,0.057,0.178,0.05,0.375,7.509,0.0
7.996,0.941,0.166,0.062,0.158,0.051,0.436,7.63,0.0
8.022,0.927,0.131,0.061,0.19,0.049,0.432,7.473,0.0
7.99,0.933,0.134,0.057,0.172,0.05,0.412,7.557,0.0
7.89,0.932,0.129,0.059,0.188,0.048,0.424,7.402,0.0
7.953,0.943,0.194,0.06,0.155,0.048,0.457,7.498,0.0
7.831,0.938,0.112,0.058,0.167,0.05,0.386,7.484,0.0
